,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomePossession,AwayPossession,year,month,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating,HOMEATTACKVSAWAYDEFENCE,AWAYATTACKVSHOMEDEFENCE,HOMERATINGSVSAWAYRATINGS,HOMEMIDFIELDVSAWAYMIDFIELD
70,70,70,70,70,70,70,70,14/10/2017,Burnley,West Ham,1,1,D,0,1,A,20,8,5,6,11,14,7,4,2,2,0,1,1675.1628418,1672.01000977,3.152832030000127,62,38,2017,10,74,75,76,75,80,78,78,79,-4,4,-4,-3
71,71,71,71,71,71,71,71,14/10/2017,Crystal Palace,Chelsea,2,1,H,2,1,H,14,15,5,5,7,6,5,8,2,1,0,0,1599.55126953,1934.76513672,-335.2138671900002,43,57,2017,10,80,76,76,76,85,84,82,84,-2,9,-8,-8
72,72,72,72,72,72,72,72,14/10/2017,Liverpool,Man United,0,0,D,0,0,D,19,6,5,1,7,13,7,3,0,2,0,0,1850.99987793,1917.1583252,-66.15844727000011,62,38,2017,10,83,82,77,82,87,83,81,83,2,10,-1,-1
73,73,73,73,73,73,73,73,14/10/2017,Man City,Stoke,7,2,H,3,1,H,20,5,11,1,5,8,5,0,0,1,0,0,1932.31848145,1681.34814453,250.97033692000008,79,21,2017,10,84,85,81,83,78,76,77,77,7,-3,6,9
74,74,74,74,74,74,74,74,14/10/2017,Swansea,Huddersfield,2,0,H,1,0,H,7,7,3,2,12,16,5,3,1,5,0,0,1650.44787598,1527.55371094,122.89416503999996,41,59,2017,10,76,77,75,76,75,72,72,73,4,0,3,5
75,75,75,75,75,75,75,75,14/10/2017,Tottenham,Bournemouth,1,0,H,0,0,D,18,5,6,1,9,7,9,5,1,3,0,0,1916.18225098,1640.30371094,275.87854004,73,27,2017,10,85,81,82,82,76,74,75,75,10,-6,7,7
76,76,76,76,76,76,76,76,14/10/2017,Watford,Arsenal,2,1,H,0,1,A,11,9,2,6,8,10,2,5,1,0,0,0,1655.21081543,1863.7487792999998,-208.53796386999988,47,53,2017,10,77,76,76,77,85,82,81,82,-4,9,-5,-6
77,77,77,77,77,77,77,77,15/10/2017,Brighton,Everton,1,1,D,0,0,D,12,13,3,6,12,10,7,1,4,1,0,0,1604.02490234,1728.84741211,-124.82250977000014,46,54,2017,10,74,74,74,74,74,82,79,80,-5,0,-6,-8
78,78,78,78,78,78,78,78,15/10/2017,Southampton,Newcastle,2,2,D,0,1,A,12,19,2,5,11,12,3,8,1,2,0,0,1685.44787598,1650.93383789,34.514038089999985,62,38,2017,10,78,78,78,78,74,74,75,75,3,-4,3,4
79,79,79,79,79,79,79,79,16/10/2017,Leicester,West Brom,1,1,D,0,0,D,11,5,3,1,13,6,4,1,2,2,0,0,1713.75134277,1654.62414551,59.12719726,56,44,2017,10,79,78,76,78,80,77,76,77,3,4,1,1
80,80,80,80,80,80,80,80,20/10/2017,West Ham,Brighton,0,3,A,0,2,A,16,7,2,5,5,13,10,3,1,0,0,0,1676.63635254,1608.29504395,68.34130858999994,65,35,2017,10,80,78,78,79,74,74,74,74,6,-4,5,4
81,81,81,81,81,81,81,81,21/10/2017,Chelsea,Watford,4,2,H,1,1,D,14,16,8,5,13,16,6,6,2,3,0,0,1918.54345703,1669.43310547,249.1103515599998,51,49,2017,10,85,84,82,84,77,76,76,77,9,-5,7,8
82,82,82,82,82,82,82,82,21/10/2017,Huddersfield,Man United,2,1,H,2,0,H,5,9,3,3,10,12,4,7,4,2,0,0,1524.90039062,1925.75109863,-400.85070800999983,23,77,2017,10,75,72,72,73,87,83,81,83,-6,15,-10,-11
83,83,83,83,83,83,83,83,21/10/2017,Man City,Burnley,3,0,H,1,0,H,15,6,10,0,10,6,4,5,2,3,0,0,1944.10083008,1675.89758301,268.20324706999986,76,24,2017,10,84,85,81,83,74,75,76,75,8,-7,8,10
84,84,84,84,84,84,84,84,21/10/2017,Newcastle,Crystal Palace,1,0,H,0,0,D,7,10,3,0,12,14,3,5,4,2,0,0,1656.51184082,1616.49633789,40.01550293000014,54,46,2017,10,74,74,75,75,80,76,76,76,-2,5,-1,-2
85,85,85,85,85,85,85,85,21/10/2017,Southampton,West Brom,1,0,H,0,0,D,20,7,6,2,10,8,8,3,0,1,0,0,1685.2310790999998,1660.84741211,24.38366698999971,64,36,2017,10,78,78,78,78,80,77,76,77,2,2,1,1
86,86,86,86,86,86,86,86,21/10/2017,Stoke,Bournemouth,1,2,A,0,2,A,10,7,2,3,17,10,8,3,0,1,0,0,1679.85400391,1641.38757324,38.466430670000136,53,47,2017,10,78,76,77,77,76,74,75,75,3,-1,2,2
